"trip_id","arrival_time","departure_time","stop_id",stop_sequence,"stop_headsign",pickup_type
"yellow_a","6:07:00","6:07:00","16thbart",1,"",0
"yellow_a","6:16:00","6:16:00","mcb",2,"",0
"yellow_a","6:19:00","6:19:00","23harrsb_ob",3,"",0
"yellow_a","6:27:00","6:27:00","sfgh",4,"",0
"yellow_a","6:35:00","6:35:00","23harrnb_ib",5,"",0
"yellow_a","6:38:00","6:38:00","16thbart",6,"",0
"yellow_a","6:47:00","6:47:00","mcb",7,"",0
"yellow_a","6:50:00","6:50:00","23harrsb_ob",8,"",0
"yellow_a","6:58:00","6:58:00","sfgh",9,"",0
"yellow_a","7:06:00","7:06:00","23harrnb_ib",10,"",0
"yellow_a","7:09:00","7:09:00","16thbart",11,"",0
"yellow_a","7:18:00","7:18:00","mcb",12,"",0
"yellow_a","7:21:00","7:21:00","23harrsb_ob",13,"",0
"yellow_a","7:29:00","7:29:00","sfgh",14,"",0
"yellow_a","7:37:00","7:37:00","23harrnb_ib",15,"",0
"yellow_a","7:40:00","7:40:00","16thbart",16,"",0
"yellow_a","7:49:00","7:49:00","mcb",17,"",0
"yellow_a","7:52:00","7:52:00","23harrsb_ob",18,"",0
"yellow_a","8:00:00","8:00:00","sfgh",19,"",0
"yellow_a","8:08:00","8:08:00","23harrnb_ib",20,"",0
"yellow_a","8:11:00","8:11:00","16thbart",21,"",0
"yellow_a","8:20:00","8:20:00","mcb",22,"",0
"yellow_a","8:23:00","8:23:00","23harrsb_ob",23,"",0
"yellow_a","8:31:00","8:31:00","sfgh",24,"",0
"yellow_a","8:39:00","8:39:00","23harrnb_ib",25,"",0
"yellow_a","8:42:00","8:42:00","16thbart",26,"",0
"yellow_a","8:51:00","8:51:00","mcb",27,"",0
"yellow_a","8:54:00","8:54:00","23harrsb_ob",28,"",0
"yellow_a","9:02:00","9:02:00","sfgh",29,"",0
"yellow_a","9:10:00","9:10:00","23harrnb_ib",30,"",0
"yellow_a","9:13:00","9:13:00","16thbart",31,"",0
"yellow_a","9:22:00","9:22:00","mcb",32,"",0
"yellow_a","9:25:00","9:25:00","23harrsb_ob",33,"",0
"yellow_a","9:33:00","9:33:00","sfgh",34,"",0
"yellow_a","9:41:00","9:41:00","23harrnb_ib",35,"",1
"yellow_a","15:45:00","15:45:00","mcb",39,"",0
"yellow_a","15:52:00","15:52:00","16thbart",40,"",0
"yellow_a","15:57:00","15:57:00","23harrsb_ob",41,"",0
"yellow_a","16:07:00","16:07:00","sfgh",42,"",0
"yellow_a","16:14:00","16:14:00","23harrnb_ib",43,"",0
"yellow_a","16:21:00","16:21:00","mcb",44,"",0
"yellow_a","16:28:00","16:28:00","16thbart",45,"",0
"yellow_a","16:33:00","16:33:00","23harrsb_ob",46,"",0
"yellow_a","16:43:00","16:43:00","sfgh",47,"",0
"yellow_a","16:50:00","16:50:00","23harrnb_ib",48,"",0
"yellow_a","16:57:00","16:57:00","mcb",49,"",0
"yellow_a","17:04:00","17:04:00","16thbart",50,"",0
"yellow_a","17:09:00","17:09:00","23harrsb_ob",51,"",0
"yellow_a","17:19:00","17:19:00","sfgh",52,"",0
"yellow_a","17:26:00","17:26:00","23harrnb_ib",53,"",0
"yellow_a","17:33:00","17:33:00","mcb",54,"",0
"yellow_a","17:40:00","17:40:00","16thbart",55,"",0
"yellow_a","17:45:00","17:45:00","23harrsb_ob",56,"",0
"yellow_a","17:55:00","17:55:00","sfgh",57,"",0
"yellow_a","18:01:00","18:01:00","23harrnb_ib",58,"",0
"yellow_a","18:08:00","18:08:00","mcb",59,"",0
"yellow_a","18:15:00","18:15:00","16thbart",60,"",0
"yellow_a","18:20:00","18:20:00","23harrsb_ob",61,"",0
"yellow_a","18:30:00","18:30:00","sfgh",62,"",0
"yellow_a","18:36:00","18:36:00","23harrnb_ib",63,"",0
"yellow_a","18:43:00","18:43:00","mcb",64,"",0
"yellow_a","18:50:00","18:50:00","16thbart",65,"",0
"yellow_a","18:55:00","18:55:00","23harrsb_ob",66,"",0
"yellow_a","19:05:00","19:05:00","sfgh",67,"",0
"yellow_a","19:11:00","19:11:00","23harrnb_ib",68,"",0
"yellow_a","19:18:00","19:18:00","mcb",69,"",0
"yellow_a","19:25:00","19:25:00","16thbart",70,"",0
"yellow_a","19:30:00","19:30:00","23harrsb_ob",71,"",0
"yellow_a","19:40:00","19:40:00","sfgh",72,"",0
"yellow_a","19:46:00","19:46:00","23harrnb_ib",73,"",0
"yellow_a","19:53:00","19:53:00","mcb",74,"",0
"yellow_a","20:00:00","20:00:00","16thbart",75,"",0
"yellow_a","20:05:00","20:05:00","23harrsb_ob",76,"",0
"yellow_a","20:15:00","20:15:00","sfgh",77,"",0
"yellow_a","20:21:00","20:21:00","23harrnb_ib",78,"",0
"yellow_a","20:28:00","20:28:00","mcb",79,"",0
"yellow_a","20:35:00","20:35:00","16thbart",80,"",1
"yellow_b","6:18:00","6:18:00","16thbart",1,"",0
"yellow_b","6:27:00","6:27:00","mcb",2,"",0
"yellow_b","6:30:00","6:30:00","23harrsb_ob",3,"",0
"yellow_b","6:38:00","6:38:00","sfgh",4,"",0
"yellow_b","6:46:00","6:46:00","23harrnb_ib",5,"",0
"yellow_b","6:49:00","6:49:00","16thbart",6,"",0
"yellow_b","6:58:00","6:58:00","mcb",7,"",0
"yellow_b","7:01:00","7:01:00","23harrsb_ob",8,"",0
"yellow_b","7:09:00","7:09:00","sfgh",9,"",0
"yellow_b","7:17:00","7:17:00","23harrnb_ib",10,"",0
"yellow_b","7:20:00","7:20:00","16thbart",11,"",0
"yellow_b","7:29:00","7:29:00","mcb",12,"",0
"yellow_b","7:32:00","7:32:00","23harrsb_ob",13,"",0
"yellow_b","7:40:00","7:40:00","sfgh",14,"",0
"yellow_b","7:48:00","7:48:00","23harrnb_ib",15,"",0
"yellow_b","7:51:00","7:51:00","16thbart",16,"",0
"yellow_b","8:00:00","8:00:00","mcb",17,"",0
"yellow_b","8:03:00","8:03:00","23harrsb_ob",18,"",0
"yellow_b","8:11:00","8:11:00","sfgh",19,"",0
"yellow_b","8:19:00","8:19:00","23harrnb_ib",20,"",0
"yellow_b","8:22:00","8:22:00","16thbart",21,"",0
"yellow_b","8:31:00","8:31:00","mcb",22,"",0
"yellow_b","8:34:00","8:34:00","23harrsb_ob",23,"",0
"yellow_b","8:42:00","8:42:00","sfgh",24,"",0
"yellow_b","8:50:00","8:50:00","23harrnb_ib",25,"",0
"yellow_b","8:53:00","8:53:00","16thbart",26,"",0
"yellow_b","9:02:00","9:02:00","mcb",27,"",0
"yellow_b","9:05:00","9:05:00","23harrsb_ob",28,"",0
"yellow_b","9:13:00","9:13:00","sfgh",29,"",0
"yellow_b","9:21:00","9:21:00","23harrnb_ib",30,"",0
"yellow_b","9:26:00","9:26:00","mcb",32,"",0
"yellow_b","9:29:00","9:29:00","23harrsb_ob",33,"",0
"yellow_b","9:37:00","9:37:00","sfgh",34,"",0
"yellow_b","9:45:00","9:45:00","23harrnb_ib",35,"",0
"yellow_b","9:50:00","9:50:00","mcb",37,"",0
"yellow_b","9:53:00","9:53:00","23harrsb_ob",38,"",0
"yellow_b","10:01:00","10:01:00","sfgh",39,"",0
"yellow_b","10:09:00","10:09:00","23harrnb_ib",40,"",0
"yellow_b","10:14:00","10:14:00","mcb",42,"",0
"yellow_b","10:17:00","10:17:00","23harrsb_ob",43,"",0
"yellow_b","10:25:00","10:25:00","sfgh",44,"",0
"yellow_b","10:33:00","10:33:00","23harrnb_ib",45,"",0
"yellow_b","10:38:00","10:38:00","mcb",47,"",0
"yellow_b","10:41:00","10:41:00","23harrsb_ob",48,"",0
"yellow_b","10:49:00","10:49:00","sfgh",49,"",0
"yellow_b","10:57:00","10:57:00","23harrnb_ib",50,"",0
"yellow_b","11:02:00","11:02:00","mcb",52,"",0
"yellow_b","11:05:00","11:05:00","23harrsb_ob",53,"",0
"yellow_b","11:13:00","11:13:00","sfgh",54,"",0
"yellow_b","11:21:00","11:21:00","23harrnb_ib",55,"",0
"yellow_b","11:26:00","11:26:00","mcb",57,"",0
"yellow_b","11:29:00","11:29:00","23harrsb_ob",58,"",0
"yellow_b","11:37:00","11:37:00","sfgh",59,"",0
"yellow_b","11:45:00","11:45:00","23harrnb_ib",60,"",0
"yellow_b","11:50:00","11:50:00","mcb",62,"",0
"yellow_b","11:53:00","11:53:00","23harrsb_ob",63,"",0
"yellow_b","12:01:00","12:01:00","sfgh",64,"",0
"yellow_b","12:09:00","12:09:00","23harrnb_ib",65,"",0
"yellow_b","12:14:00","12:14:00","mcb",67,"",0
"yellow_b","12:17:00","12:17:00","23harrsb_ob",68,"",0
"yellow_b","12:25:00","12:25:00","sfgh",69,"",0
"yellow_b","12:33:00","12:33:00","23harrnb_ib",70,"",0
"yellow_b","12:38:00","12:38:00","mcb",72,"",0
"yellow_b","12:41:00","12:41:00","23harrsb_ob",73,"",0
"yellow_b","12:49:00","12:49:00","sfgh",74,"",0
"yellow_b","12:57:00","12:57:00","23harrnb_ib",75,"",0
"yellow_b","13:02:00","13:02:00","mcb",77,"",0
"yellow_b","13:05:00","13:05:00","23harrsb_ob",78,"",0
"yellow_b","13:13:00","13:13:00","sfgh",79,"",0
"yellow_b","13:21:00","13:21:00","23harrnb_ib",80,"",0
"yellow_b","13:26:00","13:26:00","mcb",82,"",0
"yellow_b","13:29:00","13:29:00","23harrsb_ob",83,"",0
"yellow_b","13:37:00","13:37:00","sfgh",84,"",0
"yellow_b","13:45:00","13:45:00","23harrnb_ib",85,"",0
"yellow_b","13:45:00","13:45:00","23harrnb_ib",88,"",0
"yellow_b","13:50:00","13:50:00","mcb",89,"",0
"yellow_b","13:53:00","13:53:00","23harrsb_ob",91,"",0
"yellow_b","14:01:00","14:01:00","sfgh",92,"",0
"yellow_b","14:09:00","14:09:00","23harrnb_ib",93,"",0
"yellow_b","14:14:00","14:14:00","mcb",94,"",0
"yellow_b","14:17:00","14:17:00","23harrsb_ob",96,"",0
"yellow_b","14:25:00","14:25:00","sfgh",97,"",0
"yellow_b","14:33:00","14:33:00","23harrnb_ib",98,"",0
"yellow_b","14:38:00","14:38:00","mcb",99,"",0
"yellow_b","14:41:00","14:41:00","23harrsb_ob",101,"",0
"yellow_b","14:49:00","14:49:00","sfgh",102,"",0
"yellow_b","14:57:00","14:57:00","23harrnb_ib",103,"",0
"yellow_b","15:02:00","15:02:00","mcb",104,"",0
"yellow_b","15:05:00","15:05:00","23harrsb_ob",106,"",0
"yellow_b","15:13:00","15:13:00","sfgh",107,"",0
"yellow_b","15:21:00","15:21:00","23harrnb_ib",108,"",0
"yellow_b","15:26:00","15:26:00","mcb",109,"",0
"yellow_b","15:33:00","15:33:00","16thbart",110,"",0
"yellow_b","15:38:00","15:38:00","23harrsb_ob",111,"",0
"yellow_b","15:48:00","15:48:00","sfgh",112,"",0
"yellow_b","15:55:00","15:55:00","23harrnb_ib",113,"",0
"yellow_b","16:02:00","16:02:00","mcb",114,"",0
"yellow_b","16:09:00","16:09:00","16thbart",115,"",0
"yellow_b","16:14:00","16:14:00","23harrsb_ob",116,"",0
"yellow_b","16:24:00","16:24:00","sfgh",117,"",0
"yellow_b","16:31:00","16:31:00","23harrnb_ib",118,"",0
"yellow_b","16:38:00","16:38:00","mcb",119,"",0
"yellow_b","16:45:00","16:45:00","16thbart",120,"",0
"yellow_b","16:50:00","16:50:00","23harrsb_ob",121,"",0
"yellow_b","17:00:00","17:00:00","sfgh",122,"",0
"yellow_b","17:07:00","17:07:00","23harrnb_ib",123,"",0
"yellow_b","17:14:00","17:14:00","mcb",124,"",0
"yellow_b","17:21:00","17:21:00","16thbart",125,"",0
"yellow_b","17:26:00","17:26:00","23harrsb_ob",126,"",0
"yellow_b","17:36:00","17:36:00","sfgh",127,"",0
"yellow_b","17:43:00","17:43:00","23harrnb_ib",128,"",0
"yellow_b","17:50:00","17:50:00","mcb",129,"",0
"yellow_b","17:57:00","17:57:00","16thbart",130,"",0
"yellow_b","18:02:00","18:02:00","23harrsb_ob",131,"",0
"yellow_b","18:12:00","18:12:00","sfgh",132,"",0
"yellow_b","18:18:00","18:18:00","23harrnb_ib",133,"",0
"yellow_b","18:25:00","18:25:00","mcb",134,"",0
"yellow_b","18:32:00","18:32:00","16thbart",135,"",0
"yellow_b","18:37:00","18:37:00","23harrsb_ob",136,"",0
"yellow_b","18:47:00","18:47:00","sfgh",137,"",0
"yellow_b","18:53:00","18:53:00","23harrnb_ib",138,"",0
"yellow_b","19:00:00","19:00:00","mcb",139,"",0
"yellow_b","19:07:00","19:07:00","16thbart",140,"",0
"yellow_b","19:12:00","19:12:00","23harrsb_ob",141,"",0
"yellow_b","19:22:00","19:22:00","sfgh",142,"",0
"yellow_b","19:28:00","19:28:00","23harrnb_ib",143,"",0
"yellow_b","19:35:00","19:35:00","mcb",144,"",0
"yellow_b","19:42:00","19:42:00","16thbart",145,"",0
"yellow_b","19:47:00","19:47:00","23harrsb_ob",146,"",0
"yellow_b","19:57:00","19:57:00","sfgh",147,"",0
"yellow_b","20:03:00","20:03:00","23harrnb_ib",148,"",0
"yellow_b","20:10:00","20:10:00","mcb",149,"",0
"yellow_b","20:17:00","20:17:00","16thbart",150,"",1
"green_a","9:01:00","9:01:00","missb4we",40,"to 654 Minnesota St.",0
"green_a","9:06:00","9:06:00","654minn",41,"",0
"green_a","9:10:00","9:10:00","499ill",42,"",0
"green_a","9:18:00","9:18:00","missb4we",43,"to MB Orthopaedic Institute",0
"green_a","9:20:00","9:20:00","mboi",44,"",0
"green_a","9:25:00","9:25:00","caltrain",45,"",0
"green_a","9:28:00","9:28:00","chinbasn",46,"",0
"green_a","9:34:00","9:34:00","missb4we",47,"to 654 Minnesota St.",0
"green_a","9:39:00","9:39:00","654minn",48,"",0
